_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
190,ARH0268,2901 Bayview Avenue (South Development),2901 Bayview Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,26,0,0,"{""coordinates"": [[-79.385439, 43.767823]], ""type"": ""MultiPoint""}"
191,ARH0269,200 University Avenue,200 University Avenue,Planning Applications Under Review,10,Spadina-Fort York,20,0,0,"{""coordinates"": [[-79.386601, 43.650019]], ""type"": ""MultiPoint""}"
192,ARH0270,"1245 Dupont Street, 213 Emerson Avenue, 1260 Dufferin Street - Block 3",213 Emerson Ave,Approved OPAs and Zoning By-Law Amendments,9,Davenport,32,0,0,"{""coordinates"": [[-79.43533161, 43.64100023]], ""type"": ""MultiPoint""}"
193,ARH0271,3377 Bayview Ave. (Tyndale Green) - Phase 1,3377 Bayview Ave,Planning Applications Under Review,17,Don Valley North,102,0,0,"{""coordinates"": [[-79.39213505, 43.79694748]], ""type"": ""MultiPoint""}"
194,ARH0272,1375 Queen St. W.,1375 Queen St. W,Issued Building Permit,4,Parkdale-High Park,13,0,0,"{""coordinates"": [[-79.43533161, 43.64100023]], ""type"": ""MultiPoint""}"
195,ARH0273,72 Perth Ave.,72 Perth Ave,Approved OPAs and Zoning By-Law Amendments,9,Davenport,52,0,0,"{""coordinates"": [[-79.44850542, 43.65628223]], ""type"": ""MultiPoint""}"
196,ARH0274,2448-2450 Kingston Rd.,2448 Kingston Rd,Planning Applications Under Review,20,Scarborough Southwest,9,0,0,"{""coordinates"": [[-79.24957603, 43.71057003]], ""type"": ""MultiPoint""}"
197,ARH0276,49 Ontario St.,49 Ontario St,Planning Applications Under Review,13,Toronto Centre,245,0,0,"{""coordinates"": [[-79.36597663, 43.66549807]], ""type"": ""MultiPoint""}"
198,ARH0277,8-16 Locust St.,8 Locust St,Started Construction,5,York South-Weston,95,0,0,"{""coordinates"": [[-79.49071022, 43.68882033]], ""type"": ""MultiPoint""}"
199,ARH0278,2450 Victoria Park Ave.,2450 Victoria Park Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,153,0,0,"{""coordinates"": [[-79.32265176, 43.771389]], ""type"": ""MultiPoint""}"
200,ARH0279,1886-1920 Eglinton Ave. W.,1886 Eglinton Ave W,Approved OPAs and Zoning By-Law Amendments,8,Eglinton-Lawrence,51,0,0,"{""coordinates"": [[-79.45171015, 43.69642043]], ""type"": ""MultiPoint""}"
201,ARH0280,60 Fieldway Rd.,60 Fieldway Rd,Planning Applications Under Review,3,Etobicoke-Lakeshore,111,0,0,"{""coordinates"": [[-79.53168398, 43.63953508]], ""type"": ""MultiPoint""}"
202,ARH0282,7 - 9 Wardlaw Crescent,9 Wardlaw Cres,Building Permit Application,1,Etobicoke North,0,0,51,"{""coordinates"": [[-79.56490605, 43.739925]], ""type"": ""MultiPoint""}"
203,ARH0283,Downsview Park ,70 Canuck Ave,Pre-Planning,6,York Centre,2340,0,0,"{""coordinates"": [[-79.48338096, 43.74407563]], ""type"": ""MultiPoint""}"
204,ARH0284,610 Bay Street and 130 Elizabeth Street,610 Bay St,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,221,0,0,"{""coordinates"": [[-79.38480995, 43.65617924]], ""type"": ""MultiPoint""}"
205,ARH0285,"254-266 King Street East, 427-435 Adelaide Street East and 157 Princess Street",254 King Street East,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,190,0,0,"{""coordinates"": [[-79.36762382, 43.65167212]], ""type"": ""MultiPoint""}"
206,ARH0286,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue",985 Woodbine Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,12,0,0,"{""coordinates"": [[-79.31246875, 43.68641648]], ""type"": ""MultiPoint""}"
207,ARH0287,2400 - 2440 Dundas Street West (Phase 1),2440 Dundas St. W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,11,0,0,"{""coordinates"": [[-79.45272929, 43.65862499]], ""type"": ""MultiPoint""}"
